企業名,法人番号,従業員数,業種,都道府県
西日本フード株式会社,1290001022575,605,日本ハムグループが国内外で生産・輸入する食肉商品を量販店・食肉店・外食産業などに販売する全国ネットの総合食肉ディーラー,福岡県福岡市博多区冷泉町２番１号博多祇園Ｍ－ＳＱＵＡＲＥ４階
株式会社河野,1240001003357,518,貨物運送事業,広島県広島市安佐北区亀山７丁目１０番２１号
西部運輸株式会社,1240001031060,937,道路貨物運送事業,広島県福山市箕沖町１０５番地の１７
株式会社Ｂ・Ｉ,1370001005910,610,道路貨物自動車運送事業。加工食品等の入出荷管理及び配送,宮城県仙台市宮城野区扇町３丁目１番１号
株式会社日本フードリンク,1110001004293,960,病院・福祉施設・学校等における給食受託業務、食品加工業、自動販売機設置斡旋事業 毎日の食事が、健康な身体を作ります。,新潟県新潟市東区津島屋６丁目９９番地１
株式会社デンソーワイズテック,1200001018152,760,各種メーター、自動車電子部品（回路） 各種センサ、各種ワイヤーハーネスの製造,岐阜県可児市姫ケ丘３丁目１番地
三重交通コミュニティ株式会社,1190001000351,802,分譲マンションの総合管理 ビルの総合管理 商業施設の総合管理 賃貸管理 警備業 不動産の売買及び仲介,三重県津市丸之内９番１８号
株式会社赤福,1190001006381,590,菓子の製造・販売,三重県伊勢市宇治中之切町２６番地
株式会社テレコムスクエア,1010001026918,111,情報通信サービス,東京都千代田区三番町８番地１
株式会社アート,1010701014775,100,セキュリティ製品の製造・販売,神奈川県川崎市中原区市ノ坪３２２番地７
株式会社イボキン,1140001038603,150,1、鉄、非鉄スクラップ収集運搬、加工、リサイクル 2、一般廃棄物の収集運搬、中間処理 3、産業廃棄物の収集運搬、中間処理,兵庫県たつの市揖保川町正條３７９番地
株式会社ＮＴＴデータ・エム・シー・エス,1040001036848,116,・コンピュータとその関連機器および情報通信ネットワーク利用によるデータ処理に関する受託業務 ・コンピュータとその関連機器,千葉県松戸市松戸２０５９番地
