企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
トヨタカローラ京都株式会社,1130001021849,"自動車販売（新車・中古車)
自動車整備
保険販売
情報通信機器販売",京都府京都市中京区西ノ京南大炊御門町１番地の１,408,1972,,山本宏樹,
ナカライテスク株式会社,1130001021948,,京都府京都市中京区二条通烏丸西入東玉屋町４９８番地,400,1958,,半井大,
株式会社ダイワ・セキュリティー・システム,1130001025528,警備業,京都府京都市西京区樫原下ノ町２３番地３,270,1996,,中井敬藏,
日本ニューロン株式会社,1130001037333,,京都府相楽郡精華町光台３丁目２番地１８,50,1983,,岩本泰一,
星和電機株式会社,1130001038463,情報表示システム、産業用照明機器、道路・トンネル照明機器、ノイズ対策製品、配線保護機材の製造販売,京都府城陽市寺田新池３６番地,613,1949,,増山晃章,http://www.seiwa.co.jp/
西武緑化管理株式会社,1012701000524,,埼玉県所沢市緑町１丁目１番１１号,109,1971,,赤土正浩,
埼玉トヨペット株式会社,1030001003329,,埼玉県さいたま市中央区上落合２丁目２番１号,1642,1956,,坂井俊哉,
太陽管財株式会社,1030001005250,,埼玉県さいたま市北区日進町３丁目８番地,300,1972,,齊藤敏雄,
株式会社島忠,1030001004269,"家具・インテリア雑貨（カーテン・カーペット・インテリア小物ほか）の小売業
ホームセンター商品（日用品・園芸・ペット・木材",埼玉県さいたま市中央区上落合８丁目３番３２号,5405,,,岡野恭明,http://www.shimachu.co.jp/
株式会社ハイデイ日高,1030001006892,,埼玉県さいたま市大宮区大門町２丁目１１８番地,1088,1956,,青野敬成,
株式会社丸電,1030001008006,,埼玉県さいたま市西区三橋５丁目１８３４番地１,90,1967,,丸山正,
株式会社むさしビルクリーナー,1030001008261,,埼玉県さいたま市浦和区常盤３丁目３番９号,487,1965,,坪井宣子,
株式会社パレスエンタープライズ,1030001006950,国際観光ホテル整備法に基づくホテル業,埼玉県さいたま市大宮区桜木町１丁目７番地５,200,1987,,佐々木圭,http://www.palace-omiya.co.jp
株式会社エクス・アドメディア,1030001014086,展示会・イベント会場設営の建設,埼玉県さいたま市南区内谷４丁目１１番２６号,70,2007,,中村俊宏,
株式会社オプトエレクトロニクス,1030001020927,,埼玉県蕨市塚越４丁目１２番１７号,58,,,野々垣龍哉,
株式会社アールキューブ,1030001027922,,埼玉県所沢市大字神米金４９０番地３,125,1996,,五留場仁バハラム,
埼玉西ヤクルト販売株式会社,1030001026924,,埼玉県入間市高倉５丁目１１番１号,131,1977,,青柳進,
株式会社アイチコーポレーション,1030001042723,,埼玉県上尾市大字領家字山下１１５２番地の１０,1076,1943,,山岸俊哉,
ニッポンレンタカー北関東株式会社,1030001044141,"カーレンタル事業
カーリース事業
中古車販売事業",埼玉県上尾市緑丘２丁目６番３号,478,2010,,山田貢,
ユー・エム・シー・エレクトロニクス株式会社,1030001044117,EMS(Electronics Manufacturing Service)企業として車載機器・ＯＡ機器から産業機器まで,埼玉県上尾市大字瓦葺７２１番地,580,,,大年浩太,http://www.umc.co.jp/
新報国マテリアル株式会社,1030001054909,,埼玉県川越市新宿町５丁目１３番地１,99,,,成瀬正,
株式会社オプトラン,1030001056764,,埼玉県鶴ヶ島市富士見６丁目１番１,87,,,範賓,
アイ・エム・アイ株式会社,1030001063447,,埼玉県越谷市流通団地３丁目３番１２号,266,1974,,林健,
